CORTE,ENTITY_NAME_RAW,ENTITY_TYPE_RAW,MOTIVO
MAR2022,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2023,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2023,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2023,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2023,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2023,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2023,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2023,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2023,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2023,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2023,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2024,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2024,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2024,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2024,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2024,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2024,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2024,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2024,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2024,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2024,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2025,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2025,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2025,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2025,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2025,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2025,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2025,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2025,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2025,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2025,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2026,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2026,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2026,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2026,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2026,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
